,2_1 - Inside Sales - Sales Insight
AEAckDetailPageControllerTest,enabled=false
AEAckErrorController,enabled=false
AEAckErrorControllerTest,enabled=false
AEAckUploadPageController,enabled=false
AEAckUploadPageControllerTest,enabled=false
AEAcknowledgementDetailPageController,enabled=true
AEAcknowledgementTest,enabled=false
AEAcknowledgementTriggerHandler_AC,enabled=false
AE_Backup_AssignmentController,enabled=false
AE_Backup_AssignmentControllerTest,enabled=false
APTPSHelper,enabled=true
APTPSHelper_Test,enabled=true
APTPSNDA_CadenceEmployees,enabled=true
APTPSSUBMITREQUEST,enabled=true
APTPSSUBMITREQUEST_Test,enabled=true
APTPS_APAC_India_User_Name_Contrler_Test,enabled=true
APTPS_APAC_India_User_Names_Controller,enabled=true
APTPS_AuthorizedEmployeesTrigger_Test,enabled=false
APTPS_EMEA_Or_EUII_UserNames_Controller,enabled=true
APTPS_EMEA_Or_EUII_UserNme_Contrler_Test,enabled=true
APTPS_IPG_OM_Team_User_Names_Controller,enabled=true
APTPS_IPG_OM_Team_Usr_Name_Contrler_test,enabled=true
APTPS_Japan_User_Names_Contrler_Test,enabled=true
APTPS_Japan_User_Names_Controller,enabled=true
APTPS_NDA_DocumentUpload,enabled=true
APTPS_NDA_TestClass,enabled=true
APTPS_NorthAmerica_User_Names_Controller,enabled=true
APTPS_NorthAmrica_Usr_Nme_Contrller_TEST,enabled=true
APTPS_RefrigeratedEmployeesTrigger_Test,enabled=false
APTPS_SoftwarePage,enabled=true
APTPS_SoftwarePage_Partial_Test,enabled=false
APTPS_SoftwarePage_TempKey,enabled=true
APTSSoftwareHardwareDetails,enabled=true
APTS_AgreementLegalHandle_Test,enabled=true
APTS_AgreementLegalHandler,enabled=true
APTS_ApprovalHandler,enabled=true
APTS_ApprovalHandler_Test,enabled=true
APTS_CLLA_PARTIAL_TEST,enabled=false
APTS_ReportDataCalculation,enabled=true
APTS_TestDataFactory,enabled=true
APTS_TestDataFactoryTest,enabled=false
APTS_TriggerProccessControl,enabled=true
ARM_Access_End_Flow,enabled=true
ARM_Access_End_Flow_Test,enabled=false
ARM_ETAA_Refrigeration_Process,enabled=false
ARM_TRS_End_Flow,enabled=true
ARM_TRS_Refrigeration_Process,enabled=false
ARMauthorizedUsers,enabled=true
ARMauthorizedUsersTest,enabled=false
AR_BeforeDelete_TestClass,enabled=false
AccountAgreementListPage_AC,enabled=true
AccountAgreementListPage_Test,enabled=false
AccountCCPTriggerHandler_AC,enabled=true
AccountChannelTypeHelper,enabled=true
AccountContentTabController_AC,enabled=true
AccountDomainExtension_AC,enabled=false
AccountDomainTriggerHandler,enabled=false
AccountDomainUpdateBatchable_AC,enabled=false
AccountExecutiveHelperClass,enabled=true
AccountExecutiveHelperClass_Test,enabled=false
AccountGSSIdxChangeProcessController_AC,enabled=false
AccountMergeAssist,enabled=false
AccountMergeController,enabled=false
AccountMergeLogController,enabled=false
AccountMergeObjectStatus,enabled=false
AccountMergeSObjectSchedulable,enabled=false
AccountMergeSObjectUpdateBatchable,enabled=false
AccountRecordTypeHelper,enabled=false
AccountTeamBatch,enabled=true
AccountTeamBatchFixHandler,enabled=false
AccountTeamDelete_batch,enabled=false
AccountTeamNoBatch,enabled=false
AccountTeamTriggerHandler_AC,enabled=true
AccountTriggerHandler_AC,enabled=true
AccountTriggerUtility,enabled=true
Account_GSSIndex_Management,enabled=true
AccountupdateCustName,enabled=false
AddActivityHistoryTriggerHelper,enabled=false
AddEntitlementContactLookupExtension,enabled=false
AddEntitlementContactLookup_Test,enabled=false
AddJiraFileAttachmentsController,enabled=false
AddProducts,enabled=false
AdditionalProductWrapper,enabled=false
AdvancedSupportGroupsTriggerHandler_AC,enabled=false
AggregateResultIterable,enabled=false
AggregateResultIterator,enabled=false
AgreementActivateControllerNew,enabled=true
AgreementActivateControllerNew_Test,enabled=false
AgreementDetailController,enabled=false
AgreementDetailControllerTest,enabled=false
AgreementLineItems,enabled=false
AgreementLineItemsTest,enabled=false
Agreement_Add_Comments,enabled=false
Agreement_Add_Comments_Test,enabled=false
ApprovalCriteriaUtility,enabled=false
ApprovalHierarchyTriggerHandler_AC,enabled=true
Aptps_AgreementTypeSelection,enabled=true
Aptps_AgreementTypeSelection_Test,enabled=false
Aptps_LegacyNumbers,enabled=true
Aptps_LegacyNumbers_Test,enabled=true
AptsAgmtLineItemSubmitController,enabled=true
AptsAgmtLineItemSubmitControllerTest,enabled=true
AptsFileUploader,enabled=true
AptsProductManulaselection,enabled=true
Apts_CLLA,enabled=true
Apts_CLLA_Test,enabled=true
Apts_Cloning,enabled=false
Apts_Edit_CLLA,enabled=true
Apts_Edit_CLLA_Test,enabled=true
Apts_NDA,enabled=true
Apts_SoftwareTempKey,enabled=true
ApttusAgreementLineItemEmailHelper,enabled=true
ApttusAgreementLineItemEmailHelper_test,enabled=true
ApttusLegalTriggeringReasons,enabled=true
ApttusLegalTriggeringReasons_Test,enabled=false
ApttusUserSetupController,enabled=false
ApttusUserSetupController_Test,enabled=false
Apttus_AgreementTriggerHandler_AC,enabled=true
Apttus_AgreementTriggerHandler_AC_Test,enabled=true
Apttus_AgreementTrigger_AT_Test,enabled=false
Apttus_Agreement_Attachments_AC,enabled=true
Apttus_Agreement_Attachments_AC_Test,enabled=true
Apttus_Agreement_Attachments_Test,enabled=false
Apttus_Cancel_Request,enabled=true
Apttus_Cancel_Request_Test,enabled=false
Apttus_EditCountryRegionMapping,enabled=false
Apttus_EditRegionPreferencesController,enabled=false
ArticleAttachmentExtension_AC,enabled=false
ArticleAttachmentPortalController,enabled=false
ArticleClass,enabled=false
ArticleFeedbackAdditionalInfoController,enabled=false
ArticleFeedbackPopupController,enabled=false
ArticleFeedbackTriggerHandler_AC,enabled=false
ArticleFeedbackUtility,enabled=false
ArticleIntegrationRecordBatchable,enabled=false
ArticleQueuedTaskScheduler,enabled=false
ArticleQueuedTaskUtil,enabled=false
ArticleTriggerHandler_AC,enabled=false
ArticlesAdditionalDetailPageController,enabled=false
ArticlesProductController,enabled=false
AssignPermissionSetsController,enabled=false
AttachmentExtension_AC,enabled=false
AttachmentShareBatch,enabled=false
AttachmentTriggerHandler_AC,enabled=false
AuditLogComponent_AC,enabled=false
AutoFollowCasesBatch,enabled=false
BMCRF_Auto_Schedule_CR_Scheduler,enabled=true
BMCRF_CR_ScheduleNotification,enabled=false
BMCRF_ChangeRequestTrigger,enabled=true
BMCRF_Class_GLOBAL_CONSTANTS,enabled=false
BMCRF_Class_KnowledgeArticles,enabled=false
BMCRF_Class_KnowledgeArticlesDetail,enabled=false
BMCRF_Class_ListTickets,enabled=false
BMCRF_Class_MOT,enabled=false
BMCRF_Class_PendingSurveyList,enabled=false
BMCRF_Class_SubmitATicket,enabled=false
BMCRF_Class_ViewTickets,enabled=false
BMCRF_CreateIncidentEmail,enabled=false
