,2_1 - Inside Sales - Sales Insight
AE_Acknowledgement_Flow__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
APTPS_Agreement_Account_Sites__c,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllRecords=true/viewAllrecords=true
APTPS_NDA_TSMC_Access__c,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
APTPS_NDA_User_Source_Code_Access__c,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
ARM_Employee_Agreement_Relationship__c,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
ARM_TRS_Employee_Agreement_Relationship__c,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Account,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Account_Domain__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Account_Sites__c,allowCreate=true/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Account_Team__c,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllRecords=false/viewAllrecords=false
Agreement__c,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Approval_Hierarchy__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Apttus_Release_Approver__c,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Apttus__APTS_Agreement__c,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Apttus__APTS_Template__c,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Article_Feedback__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Article__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=true
Asset,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllRecords=false/viewAllrecords=false
Attachment__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Billing_Plan__c,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllRecords=false/viewAllrecords=false
Booking_Package_Signatories__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=true
Booking_Package__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=true
CCR__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Cadence_Documents__c,allowCreate=true/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Cadence_Entity__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Campaign,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Case,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Case_Article_Junction__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Company_Code__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Contact,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=false/modifyAllRecords=false/viewAllrecords=true
Contact_Microsite_Relationship__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=true
Contract,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllRecords=false/viewAllrecords=false
ContractLineItem,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Country__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Currency_Exchange_Rate__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=true
Delivering_Plant__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Distribution_Channel__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Division_Code__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
EDA_Card__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=true
ER_Agreement__c,allowCreate=false/allowRead=true/allowEdit=true/allowDelete=true/modifyAllRecords=false/viewAllrecords=false
Email__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Entitlement,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
EntitlementContact,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Expected_Close_Quarter__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Forecast_Hierarchy__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Forecast_Target__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Forecast__c,allowCreate=true/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
GSS_Approval_Error__c,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllRecords=true/viewAllrecords=true
GSS_Approval_Flow__c,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=false/modifyAllRecords=false/viewAllrecords=true
GSS_Index__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=true
GSS_Split__c,allowCreate=false/allowRead=true/allowEdit=false/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Goal_Letter_Participant__c,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=false/modifyAllRecords=false/viewAllrecords=false
Goal_Letter__c,allowCreate=true/allowRead=true/allowEdit=true/allowDelete=true/modifyAllRecords=false/viewAllrecords=false
