,2_1 - Inside Sales - Sales Insight
AEAckErrorPage,enabled=false
AEAckUploadPage,enabled=false
AEAcknowledgementDetailPage,enabled=true
AE_Backup_Assignment,enabled=false
AEsamplePdfpage1,enabled=true
APTPSCLLA,enabled=true
APTPSEDITCLLA,enabled=true
APTPSNDA_CadenceEmployees,enabled=true
APTPSSUBMITREQUEST,enabled=true
APTPS_NDA,enabled=true
APTPS_NDA_DocumentUpload,enabled=true
APTSSoftwareHardware,enabled=true
APTSSoftwareHardwareTempKey,enabled=true
ARM_Access_End_Flow,enabled=true
ARM_TRS_End_Flow,enabled=true
AccountAgreementList_VP,enabled=true
AccountContentTab,enabled=true
AccountDomain_VF,enabled=false
AccountGSSIdxChangeProcessor_VP,enabled=false
AccountMergeLog,enabled=false
Achievement_report,enabled=false
ActivitiesView_VP,enabled=true
AddEntitlementContactLookupVFPage,enabled=false
AddJiraFileAttachments,enabled=false
AddProducts,enabled=true
AgreementActivateNew,enabled=true
Agreement_Add_Comments,enabled=true
Agreement_Detail,enabled=true
AnswersHome,enabled=false
AprReqList,enabled=true
AprReqts,enabled=true
Aptps_AgreementTypeSelection,enabled=true
Aptps_LegacyNumbers,enabled=false
AptsAgmtLineItemSubmit,enabled=true
Apts_CustomAgreementNumbersLookup,enabled=true
Apts_CustomOpportunityLookup,enabled=true
Apts_FileUploader,enabled=true
ApttusUserSetupPage,enabled=false
Apttus_EditCountryRegionMapping,enabled=false
Apttus_EditRegionPreferences,enabled=false
Apttus_cancel_request,enabled=true
ArticleAttachmentPortal,enabled=false
ArticleAttachments,enabled=false
ArticleCOSOpen_VF,enabled=false
ArticleFeedbackAdditionalInfo,enabled=false
ArticlesAdditionalDetailsPage,enabled=false
ArticlesTab,enabled=true
AssignPermissionSets,enabled=false
AttachContent,enabled=false
Attachments,enabled=false
Authorized_Employee_HelpText,enabled=false
BMCRF_FIN_KnowledgeArticles,enabled=false
BMCRF_FIN_KnowledgeArticlesDetail,enabled=false
BMCRF_FIN_ListTickets,enabled=false
BMCRF_FIN_MOT,enabled=false
BMCRF_FIN_SubmitATicket,enabled=false
BMCRF_FIN_TilePage,enabled=false
BMCRF_FIN_ViewTickets,enabled=false
BMCRF_HR_KnowledgeArticles,enabled=false
BMCRF_HR_KnowledgeArticlesDetail,enabled=false
BMCRF_HR_ListTickets,enabled=false
BMCRF_HR_MOT,enabled=false
BMCRF_HR_SubmitATicket,enabled=false
BMCRF_HR_TilePage,enabled=false
BMCRF_HR_ViewTickets,enabled=false
BMCRF_KnowledgeArticles,enabled=false
BMCRF_KnowledgeArticlesDetail,enabled=false
BMCRF_LandingPageFIN,enabled=false
BMCRF_LandingPageFacility,enabled=false
BMCRF_LandingPageHR,enabled=false
BMCRF_ListTickets,enabled=false
BMCRF_MOT,enabled=false
BMCRF_NotifyPendingApprovers,enabled=false
BMCRF_PendingSurveyList,enabled=false
BMCRF_SubmitATicket,enabled=false
BMCRF_TilePage,enabled=false
BMCRF_ViewTickets,enabled=false
BandwidthExceeded,enabled=false
Banner_MergeAssist_Flags,enabled=false
Banner_MergeAssist_flags_acc,enabled=false
Billing_Payments,enabled=true
Billing_Plan_Redirect,enabled=true
Booking_Package_Content_Tab,enabled=true
CCMS_linkCCR,enabled=false
CCREditCCMSFields_VP,enabled=false
COSAccountPreferences,enabled=false
COSAgreementPage,enabled=false
COSCCRLinkViewPage,enabled=false
COSCaseCreatePage,enabled=false
COSCaseDetailPage,enabled=false
COSComputingPlatforms,enabled=false
COSCreateCaseGroupPage,enabled=false
COSJapanHomePage,enabled=false
COSLandingpage,enabled=false
COSManageCaseGroupPage,enabled=false
COSMyAlert,enabled=false
COSOtherResources,enabled=false
COSPageNotFound,enabled=false
COSProjectDetailPage,enabled=false
COSRecentOrders,enabled=false
COSSearchLanding,enabled=false
COSSoftwareUpdates,enabled=false
COSViewJIRAPage,enabled=false
COSViewRequest,enabled=false
CadenceAcvalRequiredScreen,enabled=false
CadenceAdminApprovalRejectScreen,enabled=false
CadenceAdminAprrovalRejectScreen,enabled=false
CadenceAdminBulkLoadScreen,enabled=false
CadenceAdminCreateNewUser,enabled=false
CadenceAdminExcelDownload,enabled=false
CadenceAdminExceptionPage,enabled=false
CadenceAdminHostIdRefScreen,enabled=false
CadenceAdminNewUserCSVFormat,enabled=false
CadenceAdminRoleUpdateCSVFormat,enabled=false
CadenceAdminScreen,enabled=false
CadenceAdminUserValidationScreen,enabled=false
CadenceAppAdminProfileScreen,enabled=false
CadenceAppMyProfileScreen,enabled=false
CadenceAppMyProfileScreenCOS2,enabled=false
CadenceAppPWDSQAScreen,enabled=false
CadenceAppPWDSQAScreenMobile,enabled=false
CadenceAppProfileScreen,enabled=false
CadenceAppProfileScreenMobile,enabled=false
CadenceApplicationFGPWDSQAScreen,enabled=false
CadenceApplicationFGPWDSQAScreenMobile,enabled=false
CadenceApplicationFGPWDScreen,enabled=false
CadenceApplicationFGPWDScreenMobile,enabled=false
CadenceApplicationLoginScreen,enabled=false
CadenceApplicationLoginScreenMobile,enabled=false
CadenceApplicationRegRequiredScreen,enabled=false
CadenceApplicationRegRequiredScreenMob,enabled=false
CadenceApplicationRegScreen,enabled=false
CadenceApplicationRegScreenMobile,enabled=false
CadenceApplicationhostrefScreen,enabled=false
CadenceApplicationhostrefScreenMobile,enabled=false
CadenceConfidential,enabled=true
CadenceCosProcessingScreen,enabled=false
CadenceESDLoginScreen,enabled=false
CadenceESDLoginScreenMobile,enabled=false
CadenceEmailValidationScreen,enabled=false
CadenceEmailValidationScreenMobile,enabled=false
CadenceHelpPageMobile,enabled=false
CadenceRedirectScreen,enabled=false
CadenceRegCompletion,enabled=false
CadenceRegCompletionMobile,enabled=false
CadenceSQAValidationScreen,enabled=false
CadenceSQAValidationScreenMobile,enabled=false
CadenceSuperAdminScreen,enabled=false
CadenceSupportLogin,enabled=true
CadenceSupportScreen,enabled=false
CaseCommentPublisher,enabled=false
CaseEditPage,enabled=true
CaseExpertChange_VP,enabled=false
CaseMassAddCSV,enabled=false
CaseMassFieldsUpdate_VF,enabled=false
CaseMassUpdate,enabled=false
CaseNewPageOverride,enabled=false
CaseProductEdit,enabled=false
CaseSubsNewPageOverride,enabled=true
CaseToArticle_VF,enabled=false
Case_CDSInfo_Page,enabled=false
Case_Email_Publisher,enabled=false
Case_SendEmail,enabled=true
Case_email_p,enabled=false
ChangeOppOwner_VP,enabled=true
ChangePassword,enabled=false
CollabrationGroupMember,enabled=false
CommunitiesLanding,enabled=false
CommunitiesLogin,enabled=false
CommunitiesSelfReg,enabled=false
CommunitiesSelfRegConfirm,enabled=false
CommunitiesTemplate,enabled=false
CommunitySearchPage,enabled=false
ComponentLevelTracking_VF,enabled=false
ContactList,enabled=false
ContactRelatedEntitlementList_VF,enabled=false
Contact_Merge,enabled=false
ContactsExportPage,enabled=false
ContentAccessListDetailsSubPage,enabled=false
ContentAccessListPage,enabled=false
ContentSlipAttachment,enabled=false
ContentSlipPdfDownloadPage,enabled=false
CosArticleDetailPage,enabled=false
CosExtSearchService,enabled=false
CosFeedbackDetailPage,enabled=false
CreateArticleFromACR,enabled=false
CreateContentRecord,enabled=true
CreateLegalCommitment,enabled=true
CriticalSolutionAlerts,enabled=false
CustomAD_VPForecast_VP,enabled=true
CustomAccountLookupPage,enabled=false
CustomAccountMerge,enabled=false
CustomAdvSupportProdFeatLookupPage,enabled=false
CustomAgreementLookup,enabled=true
CustomAttachmentDetailPage,enabled=false
CustomCaseQuickSearch_VF,enabled=false
CustomContactLookup,enabled=true
CustomContactLookupPage,enabled=false
CustomCurrencyLookup,enabled=true
CustomEmailTemplate,enabled=true
CustomEmailTemplateForRef,enabled=false
CustomForecast_VP,enabled=true
CustomLineItems,enabled=true
CustomLineItemsList,enabled=true
CustomLookupListPage,enabled=false
CustomNewCaseFeed_VP,enabled=true
CustomNoteDetailPage,enabled=false
CustomProductFeatureLookupPage,enabled=false
CustomSFOForecast_VP,enabled=true
CustomUserLookupPage,enabled=false
CustomWSFOForecast_VP,enabled=true
DeleteNDAAuthorizedEmployee,enabled=false
DeleteNDARefrigeratedEmployee,enabled=false
Delete_TestDeleteCase_vp,enabled=false
DetailForecastIntermediate_VP,enabled=true
Display_Article,enabled=true
Display_ArticleNew,enabled=false
DownloadFile_VF,enabled=false
E2E_Acc_Group_Setup_Request,enabled=false
EOTIndexExceptions,enabled=false
ER_AddNamesFlow,enabled=true
ER_DocumentUpload,enabled=true
ER_RequestFlow,enabled=true
EditForecastAccountList_VF,enabled=false
EditLegalCommitment,enabled=true
EmailAndFeedReply,enabled=true
EmailAsPdfAttachment,enabled=false
EmailDetailPage,enabled=false
EmailPopUpCOS,enabled=false
Email_And_Notes_Related_List,enabled=true
Email_Related_List,enabled=true
EntitlementProdFeatDetails,enabled=true
EntitlementProductFeatures_VP,enabled=true
Exception,enabled=false
ExportError,enabled=false
ExportGSSError,enabled=true
ExportValidationError,enabled=false
FastTrackApproval_VP,enabled=true
FeedBackComments,enabled=false
FeedbackPopup,enabled=false
FileNotFound,enabled=false
FilterResult,enabled=false
ForceFeed_VP,enabled=false
ForecastReport_VP,enabled=false
ForgotPassword,enabled=false
ForgotPasswordConfirm,enabled=false
GLErrorPage,enabled=true
GSSApprovalPage,enabled=true
GSSApprovalUpload,enabled=true
GSSPage,enabled=false
GSS_Split_Report_excel,enabled=false
GenerateContentSlipCSVPage,enabled=false
GenerateContentSlipPage,enabled=false
GenerateContentSlipPdfPage,enabled=false
GeocodeSearchNearbyDemo,enabled=true
Global_Split_Credit_Report,enabled=false
GoalLetterDetail,enabled=true
GoalLetterDetailLink,enabled=true
GoalLetterLink,enabled=false
GoalLetterList,enabled=true
GoalLetterManagerSearch,enabled=true
GoalLetterPDFGenerator,enabled=true
GoalLetterReport,enabled=false
GoalLetterSearch,enabled=true
GoalLetterUploadPage,enabled=true
Goal_Letter,enabled=true
GoogleCharts,enabled=false
GoogleChartsforDashboard,enabled=false
HeaderPage,enabled=false
HomePage,enabled=false
HostIDReferenceKeyAlerts,enabled=false
IP_Config_Addendum_Display_PDF,enabled=false
IP_config_content,enabled=true
IdeasHome,enabled=false
InLineVF_ProductGroup,enabled=true
InLineVF_ProductSector,enabled=true
InMaintenance,enabled=false
IntelRundaReport_VF,enabled=true
JIRA_CreateIssue,enabled=false
JIRA_linkIssue,enabled=false
LWR,enabled=true
LegalCommitmentAccountView,enabled=true
LegalCommitmentOpportunityView,enabled=true
ListDA,enabled=false
ListHostID,enabled=true
MakeReadMe,enabled=false
MassAccTeamAssignStep1_VP,enabled=false
MassAccTeamAssignStep2_VP,enabled=false
MassAccTeamAssignStep3_VP,enabled=false
MassAccTeamAssignStep4_VP,enabled=false
MassOpptyShareAssignStep1_VP,enabled=false
MassOpptyShareAssignStep2_VP,enabled=false
MassOpptyShareAssignStep3_VP,enabled=false
MassOpptyShareAssignStep4_VP,enabled=false
MassReassignOpportunities,enabled=false
MigrateUserUtill_VP,enabled=false
MyCasesHomePAge_VP,enabled=false
MyCommunityHeader,enabled=false
MyCustomTaskListPage,enabled=true
MyProfilePage,enabled=false
NDASearch,enabled=true
NHM_Complete,enabled=false
NHM_Confirm,enabled=false
NHM_Main,enabled=false
NHM_Salesforce,enabled=false
NHM_Search,enabled=false
NHM_Tickets,enabled=false
NewAccount1_VP,enabled=true
NewAccountRecordType_VP,enabled=true
NewAccount_VP,enabled=true
NewAddlProductselection,enabled=false
NewArticleCOSPage,enabled=false
NewArticle_VP,enabled=false
NewBookingPackageIntermediate_VP,enabled=true
NewCCRForCCMS_VP,enabled=false
NewCCR_VP,enabled=false
NewForecastIntermediate_VP,enabled=true
NewMessagePage,enabled=true
NewOpptyIntermediate2_VP,enabled=true
NewOpptyIntermediate_VP,enabled=true
NewQueuedTask,enabled=false
New_EDACard_Override_VF,enabled=false
New_TC,enabled=false
NotificationPreferences,enabled=false
OBJ_New_ActivityMaster,enabled=false
OBJ_New_PMPlan_Template,enabled=false
OBJ_New_Service,enabled=false
OBJ_New_Service_Plan,enabled=false
OBJ_New_Service_Pricebook,enabled=false
OBJ_New_Work_Template,enabled=false
OMOtherProductPage,enabled=false
OpportunityContentTab,enabled=true
OrderLicensePage,enabled=false
ParentAccountTeamPage_VP,enabled=true
