,2_1 - Inside Sales - Sales Insight
Account.Account,default=false/visible=false
Account.Parent_Account,default=false/visible=false
Account.Partner_Account,default=false/visible=false
Account.Partner_Parent_Account,default=false/visible=false
Account_Team__c.Account_Team_Role_Type,default=true/visible=true
Alert__c.Critical_Solution,default=false/visible=false
Alert__c.HostID_Reference_Key,default=false/visible=false
Alert__c.Software_Update,default=false/visible=false
Apttus__APTS_Agreement__c.CLLA,default=true/visible=true
Apttus__APTS_Agreement__c.LWR,default=false/visible=true
Apttus__APTS_Agreement__c.Legacy_Agreement_Numbers,default=false/visible=true
Apttus__APTS_Agreement__c.NDA,default=false/visible=true
Article__c.Content_publish,default=false/visible=false
Article__c.Error_Message,default=true/visible=true
Article__c.How_To,default=false/visible=true
Article__c.Script,default=false/visible=true
Article__c.Solution,default=false/visible=true
BMCServiceDesk__Incident__c.BMCRF_ACD_Agent,default=false/visible=false
BMCServiceDesk__Incident__c.BMCRF_FACILTIES_CONSOLE,default=false/visible=false
BMCServiceDesk__Incident__c.BMCRF_IT_CONSOLE,default=true/visible=true
Booking_Package__c.Booking_Package,default=true/visible=true
Booking_Package__c.Prov_Request,default=false/visible=true
COS_SW_Update_Order__c.Order_Line_Item,default=false/visible=false
COS_SW_Update_Order__c.Parent_Order,default=false/visible=false
COS_Static_Content__c.COS_Community,default=false/visible=false
COS_Static_Content__c.Getting_Started,default=false/visible=false
COS_Static_Content__c.Product_Content,default=false/visible=false
Cadence_Online_Service_Log__c.Batch,default=false/visible=false
Cadence_Online_Service_Log__c.DML_Exception,default=false/visible=false
Cadence_Online_Service_Log__c.Login,default=false/visible=false
Cadence_Online_Service_Log__c.Okta_Operation,default=false/visible=false
Cadence_Online_Service_Log__c.Registration,default=false/visible=false
Cadence_Online_Service_Log__c.Scheduler,default=false/visible=false
Case.DIP,default=false/visible=false
Case.Default,default=true/visible=true
Case.Service_Group_Case,default=false/visible=false
Case.TIP,default=false/visible=false
Case.VIP,default=false/visible=false
ContentVersion.Account_Type,default=false/visible=true
ContentVersion.Booking_Package,default=false/visible=true
ContentVersion.DSG_Marketing,default=false/visible=true
ContentVersion.IP_config,default=false/visible=true
ContentVersion.Opportunity_Content,default=false/visible=true
Forecast__c.AD_VP,default=false/visible=true
Forecast__c.RVP_Forecast,default=true/visible=true
Forecast__c.SFO_Forecast,default=false/visible=false
Forecast__c.WSFO_Forecast,default=false/visible=false
Goal_Letter__c.GL,default=false/visible=false
Idea.InternalIdeasIdeaRecordType,default=false/visible=false
Migration_Statistics__c.Migration,default=false/visible=false
OM_Other__c.Chip_Estimate,default=false/visible=false
OM_Other__c.Invoice_Request,default=false/visible=false
OM_Other__c.Royalty_IP,default=false/visible=false
OM_Other__c.Royalty_VAR,default=false/visible=false
Opportunity.IP,default=false/visible=true
Opportunity.SW_HW,default=true/visible=true
Order_Checklist__c.Amend,default=true/visible=true
Order_Checklist__c.Edagold_and_Edaplat,default=false/visible=true
Order_Checklist__c.Hardware,default=false/visible=true
Order_Checklist__c.IP,default=false/visible=true
Order_Checklist__c.IP_Access,default=false/visible=true
Order_Checklist__c.TBL_UNIV_SAM_loan_with_fees,default=false/visible=true
Order_Checklist__c.Term,default=false/visible=true
Order_Checklist__c.X99_Yr_Other,default=false/visible=true
Product_Attribute__c.Default,default=true/visible=true
Queued_Task__c.ACR,default=false/visible=true
Queued_Task__c.AMR_EAR_APR,default=true/visible=true
Queued_Task__c.Default,default=false/visible=true
Queued_Task__c.EAR,default=false/visible=true
Queued_Task__c.SSG,default=false/visible=true
Quote.DIP_Quote,default=false/visible=true
Quote.IP_Access_Quote,default=false/visible=true
Quote.IP_Access_Selection_IP_Tensilica_Quote,default=false/visible=false
Quote.IP_Access_Selection_Quote,default=false/visible=true
Quote.IP_Board_Quote,default=false/visible=false
Quote.IP_Tensilica_Quote,default=false/visible=true
Quote.RenMaint,default=false/visible=true
Quote.X99_YR_Other_Quote,default=true/visible=true
SVMXC__RMA_Shipment_Line__c.SVMXC__RMA,default=true/visible=true
SVMXC__RMA_Shipment_Line__c.SVMXC__Shipment,default=false/visible=true
SVMXC__RMA_Shipment_Order__c.SVMXC__RMA,default=true/visible=true
SVMXC__RMA_Shipment_Order__c.SVMXC__Shipment,default=false/visible=false
SVMXC__Service_Order_Line__c.SVMXC__Estimate,default=true/visible=true
SVMXC__Service_Order_Line__c.SVMXC__RequestReceipt,default=false/visible=true
SVMXC__Service_Order_Line__c.SVMXC__UsageConsumption,default=false/visible=true
SVMXC__Service_Order__c.Field_Service_Work_Order,default=false/visible=false
SVMXC__Service_Order__c.Service_Repair_Work_Order,default=false/visible=false
Task.ACR,default=false/visible=true
Task.AMR_EAR_APR,default=true/visible=true
Task.Default,default=false/visible=true
Task.EAR,default=false/visible=true
Task.SSG,default=false/visible=true
