,2_1 - Inside Sales - Sales Insight
AE_Ack_Upload,visibility=Hidden
AE_Acknowledgement_Flow__c,visibility=DefaultOn
AccountMergeObject__c,visibility=Hidden
Account_CCP__c,visibility=Hidden
Account_Team__c,visibility=Hidden
Achievement_Report,visibility=Hidden
Activities,visibility=DefaultOff
Add_Mass_Case,visibility=DefaultOn
Advanced_Support_Groups__c,visibility=DefaultOff
Agreement__c,visibility=Hidden
Alert_Detail__c,visibility=DefaultOn
Alert__c,visibility=DefaultOn
Approval_Hierarchy__c,visibility=Hidden
Apttus_Account_managment,visibility=Hidden
Apttus_Agreement_Assignment_Rule__c,visibility=Hidden
Apttus_LWR_assignment_Rule_condition__c,visibility=Hidden
Article_Feedback__c,visibility=DefaultOn
Article__c,visibility=DefaultOff
Attachment__c,visibility=Hidden
BMCServiceDesk__SYSDashboardWidget__c,visibility=DefaultOn
BMCServiceDesk__SYSQVQuery__c,visibility=DefaultOn
Booking_Package__c,visibility=DefaultOff
CCMS_Family__c,visibility=DefaultOn
CCMS_Need_Releases__c,visibility=DefaultOn
CCMS_OS_Versions__c,visibility=DefaultOff
CCMS_OS__c,visibility=DefaultOff
CCMS_ProdLevel2__c,visibility=DefaultOn
CCMS_Product__c,visibility=DefaultOn
CCP_Assignment__c,visibility=Hidden
CCR__c,visibility=DefaultOff
CDN_CH_Consultant__c,visibility=Hidden
CDN_CH_Schedule__c,visibility=Hidden
COSHome,visibility=DefaultOff
COS_Case_Group__c,visibility=DefaultOff
COS_Community__c,visibility=Hidden
COS_HomePage,visibility=DefaultOff
COS_SW_Update_Order__c,visibility=Hidden
COS_Static_Content__c,visibility=Hidden
Cadence_Documents__c,visibility=Hidden
Cadence_Entity__c,visibility=Hidden
Cadence_Online_Service_Log__c,visibility=DefaultOn
Cadence_Platform__c,visibility=Hidden
Cadence_Support,visibility=DefaultOff
Case_History__c,visibility=Hidden
Case_Subscription__c,visibility=DefaultOn
Company_Code__c,visibility=Hidden
Component_Report,visibility=Hidden
Contact_to_case_group_junction__c,visibility=DefaultOff
Content_Access_List__c,visibility=DefaultOn
Country_Region_Mapping,visibility=Hidden
Country__c,visibility=Hidden
Currency_Exchange_Rate__c,visibility=DefaultOn
Customer_Survey__c,visibility=Hidden
DataSteward_log__c,visibility=Hidden
