,2_1 - Inside Sales - Sales Insight
AllowViewKnowledge,enabled=true
ApiEnabled,enabled=true
AssignTopics,enabled=true
ChatterFileLink,enabled=true
ChatterInternalUser,enabled=true
ChatterInviteExternalUsers,enabled=true
ChatterOwnGroups,enabled=true
CreateCustomizeFilters,enabled=true
CreateCustomizeReports,enabled=true
CreateTopics,enabled=true
DistributeFromPersWksp,enabled=true
EditEvent,enabled=true
EditHtmlTemplates,enabled=true
EditMyReports,enabled=true
EditOppLineItemUnitPrice,enabled=true
EditTask,enabled=true
EditTopics,enabled=true
EmailMass,enabled=true
EmailSingle,enabled=true
EnableNotifications,enabled=true
ExportReport,enabled=true
IsSsoEnabled,enabled=true
LightningConsoleAllowedForUser,enabled=true
MassInlineEdit,enabled=true
RunReports,enabled=true
SelectFilesFromSalesforce,enabled=true
SendSitRequests,enabled=true
ShowCompanyNameAsUserBadge,enabled=true
SubmitMacrosAllowed,enabled=true
SubscribeToLightningReports,enabled=true
ViewGlobalHeader,enabled=true
ViewHelpLink,enabled=true
ViewSetup,enabled=true
